Instituicao_x,Instituicao_y,Peso_Colaboracao
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSIDADE FEDERAL FLUMINENSE,55
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE ESTADUAL DE CAMPINAS,23
UNIVERSIDADE FEDERAL DO CEARÁ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,20
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DO AMAZONAS,19
UNIVERSIDADE DE FORTALEZA,UNIVERSIDADE FEDERAL DO CEARÁ,16
FEDERAL UNIVERSITY OF SÃO CARLOS,UNIVERSIDADE DE SÃO PAULO,14
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE FEDERAL DE SÃO CARLOS,14
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSIDADE FEDERAL DE MINAS GERAIS,12
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE OURO PRETO,12
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,11
PUC-RIO,UNIVERSIDADE FEDERAL FLUMINENSE,11
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE VIÇOSA,11
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE FEDERAL FLUMINENSE,10
INSTITUTO TECNOLÓGICO DE AERONÁUTICA,UNIVERSIDADE DE SÃO PAULO,10
CARNEGIE MELLON UNIVERSITY,UNIVERSIDADE DE SÃO PAULO,10
IBM RESEARCH,UNIVERSIDADE FEDERAL FLUMINENSE,9
UNIVERSIDADE DE SÃO PAULO,UNIVERSITY OF IA,9
FEDERAL INSTITUTE OF SÃO PAULO,UNIVERSIDADE DE SÃO PAULO,9
FEDERAL UNIVERSITY OF PARA,SENAI INNOVATION INSTITUTE FOR MINERAL TECHNOLOGIES,9
UNIVERSIDADE ESTADUAL DE CAMPINAS,VIRGINIA TECH,8
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL FLUMINENSE,8
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,8
HEWLETT PACKARD ENTERPRISE,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,8
PUC-RIO,UERJ,8
INSTITUTOS FEDERAIS,UNIVERSIDADE FEDERAL DE PERNAMBUCO,8
UNIVERSIDADE DE SÃO PAULO,UNIVERSITÉ DE BOURGOGNE,8
PUC-RIO,UNIVERSIDADE FEDERAL DO CEARÁ,8
UNIVERSIDADE FEDERAL DO PARANÁ,UNIVERSITY OF LUXEMBOURG,8
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,7
ESCOLA EIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS FUNDAÇÃO GETULIO VARGAS (FGV),UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,7
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DO CEARÁ,7
INPE - NATIONAL INSTITUTE FOR SPACE RESEARCH,UNIFESP,7
LABORATÓRIO NACIONAL DE COMPUTAÇÃO CIENTÍFICA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,7
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,7
UNIVERSIDAD DE CONCEPCION,UNIVERSITY OF CHILE,6
PROS-UPV,UNIVERSIDADE FEDERAL DE PERNAMBUCO,6
UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSITY OF KENT,6
UEL,UNIVERSIDADE DE SÃO PAULO,6
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE FEDERAL DE PERNAMBUCO,6
GOGEO,UNIVERSIDADE FEDERAL DE GOIÁS,6
INSTITUTOS FEDERAIS,UNIVERSIDADE FEDERAL DE SANTA CATARINA,6
FUNDAÇÃO OSWALDO CRUZ,UNIVERSIDADE FEDERAL DE PERNAMBUCO,6
UNIVERSIDADE DE SÃO PAULO,UNIVERSITY OF LONDRINA UEL,6
UC-RIVERSIDE,UNIVERSIDADE DE SÃO PAULO,6
UNIRIO,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,6
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSITY PARIS-DAUPHINE,6
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSIDADE FEDERAL DO CEARÁ,6
CENIDET,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,6
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE SÃO CARLOS,5
CENTER OF MATHEMATICS COMPUTING AND COGNITION FEDERAL UNIVERSITY OF ABC,UNIVERSIDADE DE SÃO PAULO,5
DIGITRO TECNOLOGIA SA,UNIVERSIDADE FEDERAL DO CEARÁ,5
INSTITUTO TECNOLÓGICO DE AERONÁUTICA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,5
FUCAPI,UNIVERSIDADE FEDERAL DO AMAZONAS,5
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE FEDERAL DE MINAS GERAIS,5
LABORATÓRIO NACIONAL DE COMPUTAÇÃO CIENTÍFICA,UNIVERSIDADE FEDERAL FLUMINENSE,5
UNIVERSIDADE FEDERAL DE OURO PRETO,UNIVERSIDADE FEDERAL FLUMINENSE,5
UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UNIVERSIDADE FEDERAL DO PARANÁ,5
FEDERAL UNIVERSITY OF PARANÁ,FEDERAL UNIVERSITY OF PARANÁ / FEDERAL INSTITUTE OF PARANÁ,5
FEDERAL UNIVERSITY OF CEARÁ,UNIVERSIDADE AUTÓNOMA DE LISBOA,4
FEDERAL UNIVERSITY OF CEARÁ,FEDERAL UNIVERSIY OF CEARÁ,4
UNIVERSIDADE ESTADUAL DO CEARÁ,UNIVERSIDADE FEDERAL DO CEARÁ,4
UNIVERSIDADE FEDERAL DE ALAGOAS,UNIVERSIDADE FEDERAL DE PERNAMBUCO,4
FEDERAL UNIVERSITY OF MATO GROSSO DO SUL,UNIVERSIDADE DE SÃO PAULO,4
FEDERAL UNIVERSITY OF CEARÁ,UNIVERSIDADE DE FORTALEZA,4
FEDERAL UNIVERSITY OF JUIZ DE FORA,UNIVERSITY OF WESTERN ONTARIO,4
FEDERAL INSTITUTE OF EDUCATION SCIENCE AND TECHNOLOGY OF PARAIBA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,4
FEDERAL UNIVERSITY OF CEARÁ,UNIVERSIDADE FEDERAL DE MINAS GERAIS,4
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UNIVERSIDADE FEDERAL DO MARANHÃO,4
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,4
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,4
FEDERAL UNIVERSITY OF SANTA MARIA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,4
INSTITUTO AMBIENTAL E TECNOLÓGICO DA AMAZÔNIA,UNIVERSIDADE FEDERAL DO AMAZONAS,4
INRIA UNIVERSITY OF MONTPELLIER CNRS LIRMM FRANCE,NATIONAL LABORATORY FOR SCIENTIFIC COMPUTING,4
CHOCOLATE CLOUD,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,4
CESAR SCHOOL,UNIVERSIDADE FEDERAL DE PERNAMBUCO,4
UNIVERSIDADE FEDERAL DO PARANÁ,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,4
CMU,UNIVERSIDADE DE SÃO PAULO,4
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,4
INRIA - UNIVERSITY OF MONTPELLIER,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,4
INRIA AND LIRMM MONTPELLIER,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,4
INSTITUTO TECNOLÓGICO DE AERONÁUTICA,UNIVERSIDADE PAULISTA,4
ETIS-CNRS-ENSEA-UNIVERSITÉ DE CERGY PONTOISE,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,4
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL RE,4
DEPT. OF COMPUTER SCIENCE UNIVERSIDAD DE CHILE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,4
DEPARTAMENTO DE INFORMÁTICA - UNIVERSIDADE FEDERAL DE VIÇOSA,ECSE - RENSSELAER POLYTECHNIC INSTITUTE,4
CONTROLADORIA GERAL DA UNIÃO,UNIVERSIDADE FEDERAL DE MINAS GERAIS,4
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UNIVERSITÉ DE TOURS,4
FUNDAÇÃO OSWALDO CRUZ,UNIVERSIDADE FEDERAL DE OURO PRETO,4
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE FEDERAL DE ALAGOAS,4
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,UNIVERSITY OF CHILE,3
PRODABEL,UFV,3
PROGRAMA DE PÓS-GRADUAÇÃO EM SENSORIAMENTO REMOTO (PGSER) COORDENAÇÃO DE ENSINO PESQUISA E EXTENSÃO (COEPE) INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS (INPE),SÃO PAULO STATE UNIVERSITY (UNESP) SCHOOL OF SCIENCES AND ENGINEERING TUPÃ,3
UNIVERSIDAD NACIONAL DE ROSARIO,UNIVERSIDAD NACIONAL DE SAN LUIS,3
UFV,UFV PRODABEL,3
CENTER FOR EXPERIMENTAL RESEARCH IN COMPUTER SYSTEMS GEORGIA INSTITUTE OF TECHNOLOGY,UNIVERSIDADE DE SÃO PAULO,3
PONTIFICA UNIVERSIDAD CATOLICA DE CHILE,UNIVERSITY OF CHILE,3
RENSSELAER POLYTECHNIC INSTITUTE,UNIVERSIDADE FEDERAL DE MINAS GERAIS,3
UNIVERSIDADE ESTADUAL DE MARINGÁ,UNIVERSIDADE FEDERAL DO PARANÁ,3
UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,UNIVERSIDADE FEDERAL DO PARANÁ,3
UNIVERSIDADE FEDERAL DE GOIÁS,UNIVERSIDADE FEDERAL DE SANTA CATARINA,3
FEDERAL UNIVERSITY OF SÃO CARLOS,FEDERAL UNIVERSITY OF TECHNOLOGY - PARANÁ,3
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSIDADE FEDERAL DO AMAZONAS,3
FEDERAL UNIVERSITY OF SÃO CARLOS,UNIVERSIDADE FEDERAL DE PERNAMBUCO,3
UNIVERSIDADE FEDERAL DE PERNAMBUCO,ÅBO AKADEMI,3
UNIVERSIDADE FEDERAL DO CEARÁ,UNIVERSIDADE FEDERAL FLUMINENSE,3
UNIVERSIDADE FEDERAL DO CEARÁ,UNIVERSIDADE FEDERAL DO PARANÁ,3
INSTITUTO SUPERIOR TÉCNICO/INESC-ID,UNIVERSIDADE FEDERAL DO AMAZONAS,3
UNIVERSIDADE DE FORTALEZA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,3
SAP GERMANY,UNIVERSITY OF KAISERSLAUTERN,3
SENAI INNOVATION INSTITUTE FOR MINERAL TECHNOLOGIES,VALE INSTITUTE OF TECHNOLOGY,3
SÃO PAULO FEDERAL INSTITUTE OF EDUCATION SCIENCE AND TECHNOLOGY,UNIVERSIDADE FEDERAL DE PERNAMBUCO,3
PROGRAMA DE PÓS-GRADUAÇÃO EM SENSORIAMENTO REMOTO (PGSER) COORDENAÇÃO DE ENSINO PESQUISA E EXTENSÃO (COEPE) INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS (INPE),UNIVERSITY OF MICHIGAN (UOFM) SCHOOL FOR ENVIRONMENT AND SUSTAINABILITY,3
PROGRAMA DE PÓS-GRADUAÇÃO EM SENSORIAMENTO REMOTO (PGSER) COORDENAÇÃO DE ENSINO PESQUISA E EXTENSÃO (COEPE) INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS (INPE),UNIVERSIDADE FEDERAL DE SANTA CATARINA,3
INSTITUTOS FEDERAIS,UNIVERSIDADE ESTADUAL DE MARINGÁ,3
INSTITUTO SUPERIOR TÉCNICO/INESC-ID,UNIVERSIDADE FEDERAL DE MINAS GERAIS,3
FEDERAL UNIVERSITY OF UBERLÂNDIA,INSTITUTOS FEDERAIS,3
UNIVERSIDADE DE SÃO PAULO,UNIVERSITY OF NEW SOUTH WALES,3
FEDERAL UNIVERSITY OF UBERLÂNDIA,UNIVERSITY OF LILLE E INRIA LILLE - NORD EUROPE,3
GOGEO,INSTITUTO DE INFORMÁTICA UNIVERSIDADE FEDERAL DE GOIÁS,3
FEDERAL UNIVERSITY OF PARAÍBA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,3
FEDERAL UNIVERSITY OF PARA,VALE INSTITUTE OF TECHNOLOGY,3
FEDERAL INSTITUTE OF SÃO PAULO,INSTITUTO TECNOLÓGICO DE AERONÁUTICA,3
UNIVERSIDADE FEDERAL DO AMAZONAS,UNIVERSIDADE FEDERAL FLUMINENSE,3
DIVISÃO DE OBSERVAÇÃO DA TERRA E GEOINFORMÁTICA (DIOTG) COORDENAÇÃO GERAL DE CIÊNCIAS DA TERRA (CG-CT),PROGRAMA DE PÓS-GRADUAÇÃO EM SENSORIAMENTO REMOTO (PGSER) COORDENAÇÃO DE ENSINO PESQUISA E EXTENSÃO (COEPE) INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS (INPE),3
UNIVERSIDADE FEDERAL DE LAVRAS,UNIVERSIDADE FEDERAL DE SANTA CATARINA,3
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UNIVERSIDADE FEDERAL FLUMINENSE,3
EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA,UNIVERSIDADE FEDERAL DE SÃO    CARLOS,3
UNIVERSITY OF BELGRADE,"UNIVERSITY OF BELGRADE

INDIANA UNIVERSITY",2
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSIDADE FEDERAL FLUMINENSE,2
FEDERAL UNIVERSITY OF PIAUÍ,UNIVERSIDADE DE FORTALEZA,2
FEDERAL UNIVERSITY OF PARANÁ,UNIVERSITÈ PARIS-SACLAY CEA LIST,2
FEDERAL INSTITUTE OF EDUCATION SCIENCE AND TECHNOLOGY BAIANO,PUC-RIO,2
FEDERAL UNIVERSITY OF CEARÁ,UNIV.  GRENOBLE ALPES CNRS,2
FEDERAL UNIVERSITY OF CEARÁ,FEDERAL UNIVERSITY OF PIAUÍ,2
FEDERAL INSTITUTE OF PIAUÍ,FEDERAL UNIVERSITY OF PIAUÍ,2
EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA,UNIVERSIDADE DE SÃO PAULO,2
ETIS-CNRS-ENSEA-UNIVERSITÉ DE CERGY PONTOISE,UNIVERSITÉ DE TOURS,2
DEPARTMENT OF INFORMATION SYSTEMS AND OPERATIONS VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS,DEPARTMENT OF NEW MEDIA TECHNOLOGY MODUL UNIVERSITY VIENNA,2
FEDERAL UNIVERSITY OF CEARÁ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,2
FEDERAL UNIVERSITY OF JUIZ DE FORA,UNIVERSIDADE FEDERAL FLUMINENSE,2
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,2
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSITY OF UTAH,2
UNIVERSITY OF ALMERIA,UNIVERSITY OF THESSALY,2
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,2
DATA DOMAIN,UNIVERSIDADE FEDERAL DO AMAZONAS,2
DEPARTMENT OF COMPUTER ENGINEERING FACENS UNIVERSITY,UNIVERSIDADE FEDERAL DE SÃO CARLOS,2
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,2
CPQD FOUNDATION,UNIVERSIDADE ESTADUAL DE CAMPINAS,2
CONSIGLIO NAZIONALE DELLE RICERCHE (CNR) -ISTI,UNIVERSIDADE FEDERAL DE SANTA CATARINA,2
CONSIGLIO NAZIONALE DELLE RICERCHE (CNR) -ISTI,INSTITUTOS FEDERAIS,2
UNIVERSIDADE FEDERAL DE MINAS GERAIS,VIRGINIA TECH,2
FEDERAL UNIVERSITY OF SÃO CARLOS,UNIVERSITY OF THESSALY,2
FEDERAL UNIVERSITY OF TECHNOLOGY - PARANÁ,UNIVERSITY OF THESSALY,2
FEDERAL UNIVERSITY OF TECHNOLOGY - PARANÁ,UNIVERSIDADE FEDERAL DE SANTA CATARINA,2
FEDERAL UNIVERSITY OF TECHNOLOGY - FEDERAL UNIVERSITY OF PARANÁ,UNIVERSITY OF LUXEMBOURG,2
UNIVERSIDADE ESTADUAL DO CEARÁ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,2
FEDERAL UNIVERSITY OF MATO GROSSO DO SUL (UFMS),UNIVERSIDADE DE SÃO PAULO,2
UNIVERSIDADE FEDERAL DA PARAÍBA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,2
UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,UNIVERSITY OF LUXEMBOURG,2
FEDERAL UNIVERSITY OF PARANÁ,UNIVERSITY OF LUXEMBOURG,2
FEDERAL UNIVERSITY OF PARANÁ,FEDERAL UNIVERSITY OF SANTA MARIA,2
INSTITUTO MAUÁ DE TECNOLOGIA,UNIVERSIDADE ESTADUAL DE CAMPINAS,2
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO/UNIVERSIDADE DE SÃO PAULO,2
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE DE UBERLÂNDIA,2
UNIVERSIDADE DE SÃO PAULO,UNIVERSIDADE DE SÃO PAULO/UNIVERSITÉ PARIS CITÉ,2
UNIVERSIDADE DE FORTALEZA,UNIVERSIDADE ESTADUAL DO CEARÁ,2
ISTI-CNR,UNIVERSIDADE FEDERAL DE SANTA CATARINA,2
UNIVERSIDADE DE SÃO PAULO,UNIVERSITÉ PARIS CITÉ/UNIVERSIDADE DE SÃO PAULO,2
UNIVERSIDADE DE SÃO PAULO,UNIVERSITY OF THESSALY,2
INRIA - UNIVERSITY OF MONTPELLIER,UNIVERSIDADE FEDERAL FLUMINENSE,2
IBM RESEARCH,UNIVERSIDADE FEDERAL DO CEARÁ,2
